Number;Season;Episode;Title;Views (in mln);IMDB Rating
151;7;25;Search Commitee;7,29;8,50
152;7;26;Search Commitee;7,29;8,50
153;8;1;The List ;7,64;7,90
154;8;2;The Incentive;6,70;8,00
155;8;3;Lotto;5,82;7,10
156;8;4;Garden Party ;6,08;8,00
157;8;5;Spooked;5,53;7,30
158;8;6;Doomsday;6,15;7,40
159;8;7;Pam’s Replacement;5,96;7,50
160;8;8;Gettysburg;5,50;6,60
161;8;9;Mrs. California;5,71;7,50
162;8;10;Christmas Wishes;5,79;7,70
163;8;11;Trivia;5,90;7,70
164;8;12;Pool Party;6,02;7,90
165;8;13;Jury Duty;5,31;7,30
166;8;14;Special Project ;5,19;7,50
167;8;15;Tallahassee;4,38;7,60
168;8;16;After Hours;5,02;7,90
169;8;17;Test the Store;4,95;7,60
170;8;18;Last Day in Florida;4,89;7,60
171;8;19;Get the Girl;4,87;6,30
172;8;20;Welcome Party;4,39;6,80
173;8;21;Angry Andy;4,35;6,70
174;8;22;Fundraiser;4,17;6,80
175;8;23;Turf War;4,44;7,40
176;8;24;Free Family Portrait Studio;4,49;7,50
177;9;1;New Guys;4,28;7,30
178;9;2;Roy’s Wedding;4,13;6,90
179;9;3;Andy's Ancestry;4,14;7,10
180;9;4;Work Bus;4,28;7,60
181;9;5;Her? Comes Treble;4,00;6,70
182;9;6;The Boat;4,83;7,50
183;9;7;The Whale;4,16;7,40
184;9;8;The Target;3,88;7,70
185;9;9;Dwight Christmas;4,16;8,20
186;9;10;Lice;4,54;7,40
187;9;11;Suit Warehouse;4,15;7,50
188;9;12;Customer Loyalty;4,19;7,60
189;9;13;Junior Salesman;4,45;7,30
190;9;14;Vandalism;3,97;7,10
191;9;15;Couples Discount;4,15;6,90
192;9;16;Moving On;4,06;7,70
193;9;17;The Farm;3,54;7,30
194;9;18;Promos;3,44;7,70
195;9;19;Stairmageddon;3,83;7,80
196;9;20;Paper Airplane;3,25;7,80
197;9;21;Livin’ the Dream;3,52;9,00
198;9;22;A.A.R.M;4,56;9,40
199;9;23;A.A.R.M;4,56;9,40
200;9;24;Finale;5,69;9,80
201;9;25;Finale;5,69;9,80
